Restaurant Name,Rating,Cuisine,Average Cost for Two,City,Address,Latitude,Longitude
Cafe 1986,3.9,"Fast Food, Chinese, Italian, North Indian, Desserts, Bakery, Beverages, Coffee",₹700 for two,Manali,"Tibetan Colony, Manali",32.2444318000,77.1895588000
Shan E Manali Restaurant,3.5,"Chinese, North Indian, Fast Food, Desserts, Beverages",₹450 for two,Manali,"Aleo, Manali",32.2249081212,77.1943003578
Dana Coffee House & German Bakery,4.7,"Italian, Fast Food, Street Food",₹400 for two,Manali,"Tibetan Colony, Manali",32.2436913000,77.1893691300
Johnson's Bar Restaurant,4.9,North Indian,"₹2,500 for two",Manali,"Old Manali, Manali",32.2470470134,77.1881121397
Little LLAMA Café,4.9,"Cafe, Pizza, Burger","₹1,000 for two",Mussoorie,"The Mall Road, Mussoorie",30.4552247493,78.0827539042
Landour Bakehouse,4.8,"Cafe, Bakery, Desserts",₹500 for two,Mussoorie,"Landour, Mussoorie",30.4568987189,78.1020792201
Kalsang,4.2,"Chinese, Thai, Tibetan, Momos",₹800 for two,Mussoorie,"The Mall Road, Mussoorie",30.4561692509,78.0777351558
Cafe Ivy,4.5,"Cafe, Coffee, Pizza, Pasta, Sandwich, Burger, Fast Food, Beverages","₹1,000 for two",Mussoorie,"Landour, Mussoorie",30.4610066434,78.0949901417
Cafe De Tavern,3.8,"Cafe, Bakery",₹700 for two,Mussoorie,"The Mall Road, Mussoorie",30.4551065414,78.0814523622
Cafe De Landour - CDL,3.9,"Cafe, Italian",₹500 for two,Mussoorie,"Landour, Mussoorie",30.4610219131,78.0950028644
Café By The Way,4.4,"Cafe, Fast Food, Beverages",₹400 for two,Mussoorie,"The Mall Road, Mussoorie",30.4555256151,78.0784093961
The Glen,4.8,"North Indian, Italian, Chinese, Bar Food","₹2,000 for two",Mussoorie,"The Mall Road, Mussoorie",30.4553510494,78.0786507949
Urban Turban,4.9,"North Indian, Mughlai, Momos","₹1,000 for two",Mussoorie,"The Mall Road, Mussoorie",30.4556357300,78.0802926421
Romeo Lane,4.2,"North Indian, Chinese, Kebab, Sushi, Asian, Oriental, Pasta, Momos","₹2,000 for two",Meerut,"Subhash Nagar, Meerut",29.0078100000,77.7462900000
Pizza Wings,3.8,"Pizza, Fast Food",₹300 for two,Meerut,"Shastri Nagar, Meerut",28.9682537000,77.7272735000
S K Chicken Corner,4.0,"North Indian, Kebab, Fast Food",₹350 for two,Meerut,"Mohan Puri, Meerut",28.9776776000,77.7117355000
